time 	 pos.z 	 vely.z 
0.000000	0.000000	10.000000
0.016667	0.166667	9.836667
0.033333	0.330611	9.673333
0.050000	0.491833	9.510000
0.066667	0.650333	9.346667
0.083333	0.806111	9.183333
0.100000	0.959167	9.020000
0.116667	1.109500	8.856667
0.133333	1.257111	8.693333
0.150000	1.402000	8.530000
0.166667	1.544167	8.366667
0.183333	1.683611	8.203333
0.200000	1.820333	8.040000
0.216667	1.954333	7.876667
0.233333	2.085611	7.713333
0.250000	2.214167	7.550000
0.266667	2.340000	7.386667
0.283333	2.463111	7.223333
0.300000	2.583500	7.060000
0.316667	2.701167	6.896667
0.333333	2.816111	6.733333
0.350000	2.928333	6.570000
0.366667	3.037833	6.406667
0.383333	3.144611	6.243333
0.400000	3.248667	6.080000
0.416667	3.350000	5.916667
0.433333	3.448611	5.753333
0.450000	3.544500	5.590000
0.466667	3.637667	5.426667
0.483334	3.728111	5.263333
0.500000	3.815833	5.100000
0.516667	3.900833	4.936667
0.533333	3.983111	4.773333
0.550000	4.062667	4.610000
0.566667	4.139500	4.446667
0.583333	4.213611	4.283333
0.600000	4.285000	4.120000
0.616667	4.353667	3.956667
0.633333	4.419611	3.793333
0.650000	4.482833	3.630000
0.666667	4.543333	3.466667
0.683333	4.601111	3.303333
0.700000	4.656167	3.140000
0.716667	4.708500	2.976667
0.733333	4.758111	2.813333
0.750000	4.805000	2.650000
0.766667	4.849167	2.486667
0.783333	4.890611	2.323333
0.800000	4.929333	2.160000
0.816667	4.965333	1.996667
0.833333	4.998611	1.833333
0.850000	5.029167	1.670000
0.866667	5.057000	1.506667
0.883333	5.082111	1.343333
0.900000	5.104500	1.180000
0.916666	5.124167	1.016667
0.933333	5.141111	0.853333
0.950000	5.155333	0.690000
0.966666	5.166833	0.526667
0.983333	5.175611	0.363333
1.000000	5.181667	0.200000
1.016666	5.185000	0.036667
1.033333	5.185611	-0.126667
1.050000	5.183500	-0.290000
1.066666	5.178667	-0.453333
1.083333	5.171111	-0.616667
1.100000	5.160833	-0.780000
1.116666	5.147833	-0.943333
1.133333	5.132111	-1.106667
1.150000	5.113667	-1.270000
1.166666	5.092500	-1.433333
1.183333	5.068611	-1.596667
1.200000	5.042000	-1.760000
1.216666	5.012667	-1.923333
1.233333	4.980611	-2.086667
1.250000	4.945833	-2.250000
1.266666	4.908333	-2.413333
1.283333	4.868111	-2.576667
1.299999	4.825167	-2.740000
1.316666	4.779500	-2.903333
1.333333	4.731111	-3.066667
1.349999	4.680000	-3.230000
1.366666	4.626167	-3.393333
1.383333	4.569611	-3.556667
1.399999	4.510333	-3.720000
1.416666	4.448333	-3.883333
1.433333	4.383611	-4.046667
1.449999	4.316167	-4.210000
1.466666	4.246000	-4.373333
1.483333	4.173111	-4.536667
1.499999	4.097500	-4.700000
1.516666	4.019167	-4.863333
1.533333	3.938111	-5.026667
1.549999	3.854333	-5.190000
1.566666	3.767833	-5.353333
1.583333	3.678611	-5.516667
1.599999	3.586667	-5.680000
1.616666	3.492000	-5.843333
1.633333	3.394611	-6.006667
1.649999	3.294500	-6.170000
1.666666	3.191667	-6.333333
1.683332	3.086111	-6.496667
1.699999	2.977833	-6.660000
1.716666	2.866833	-6.823333
1.733332	2.753111	-6.986667
1.749999	2.636667	-7.150000
1.766666	2.517500	-7.313333
1.783332	2.395611	-7.476667
1.799999	2.271000	-7.640000
1.816666	2.143667	-7.803333
1.833332	2.013611	-7.966667
1.849999	1.880833	-8.130000
1.866666	1.745333	-8.293333
1.883332	1.607111	-8.456667
1.899999	1.466167	-8.620000
1.916666	1.322500	-8.783333
1.933332	1.176111	-8.946667
1.949999	1.027000	-9.110000
1.966666	0.875167	-9.273333
1.983332	0.720611	-9.436667
1.999999	0.563333	-9.600000
2.016665	0.403333	-9.763333
2.033332	0.240611	-9.926667
2.049999	0.075167	-10.090000
2.066665	-0.093000	-10.253333
2.083332	-0.263889	-10.416667
2.099999	-0.437500	-10.580000
2.116665	-0.613833	-10.743333
2.133332	-0.792889	-10.906667
2.149999	-0.974667	-11.070000
2.166665	-1.159167	-11.233333
2.183332	-1.346389	-11.396667
2.199999	-1.536333	-11.560000
2.216665	-1.729000	-11.723333
2.233332	-1.924389	-11.886667
2.249999	-2.122500	-12.050000
2.266665	-2.323333	-12.213333
2.283332	-2.526889	-12.376667
2.299999	-2.733167	-12.540000
2.316665	-2.942167	-12.703333
2.333332	-3.153889	-12.866667
2.349998	-3.368333	-13.030000
2.366665	-3.585500	-13.193333
2.383332	-3.805389	-13.356667
2.399998	-4.028000	-13.520000
2.416665	-4.253333	-13.683333
2.433332	-4.481389	-13.846667
2.449998	-4.712167	-14.010000
2.466665	-4.945667	-14.173333
2.483332	-5.181889	-14.336667
2.499998	-5.420833	-14.500000
2.516665	-5.662500	-14.663333
2.533332	-5.906889	-14.826667
2.549998	-6.154000	-14.990000
2.566665	-6.403833	-15.153333
2.583332	-6.656389	-15.316667
2.599998	-6.911667	-15.480000
2.616665	-7.169667	-15.643333
2.633332	-7.430389	-15.806667
2.649998	-7.693833	-15.970000
2.666665	-7.960000	-16.133333
2.683332	-8.228889	-16.296667
2.699998	-8.500500	-16.460000
2.716665	-8.774833	-16.623333
2.733331	-9.051889	-16.786667
2.749998	-9.331667	-16.950000
2.766665	-9.614167	-17.113333
2.783331	-9.899389	-17.276667
2.799998	-10.187333	-17.440000
2.816665	-10.478000	-17.603333
2.833331	-10.771389	-17.766667
2.849998	-11.067500	-17.930000
2.866665	-11.366333	-18.093333
2.883331	-11.667889	-18.256667
2.899998	-11.972167	-18.420000
2.916665	-12.279167	-18.583333
2.933331	-12.588889	-18.746667
2.949998	-12.901333	-18.910000
2.966665	-13.216500	-19.073333
2.983331	-13.534389	-19.236667
2.999998	-13.855000	-19.400000
3.016665	-14.178333	-19.563333
3.033331	-14.504389	-19.726667
3.049998	-14.833167	-19.890000
